"","gender_13","age_13","manager_13","func_13","annual_salary_13","bonus_13","gender_14","age_14","manager_14","func_14","annual_salary_14","bonus_14","num_email_total","num_targets_total","num_words_total","num_warmth_words_total","num_competence_words_total","per_warmth_total","per_competence_total","num_weekday_total","num_weekend_total","num_email_within","num_targets_within","num_words_within","num_warmth_words_within","num_competence_words_within","per_warmth_within","per_competence_within","num_email_across","num_targets_across","num_words_across","num_warmth_words_across","num_competence_words_across","per_warmth_across","per_competence_across","company_13","company_14"
"30",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,8,5,218,1,23,0.00458715596330275,0.105504587155963,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",0,49,0,"Other",113019.66,22603.932,0,50,0,"Human Resources",126880,25376,450,99,14984,942,770,0.0628670581954084,0.051388147357181,365,85,297,56,9697,617,474,0.0636279261627307,0.0488810972465711,58,11,1882,130,104,0.0690754516471838,0.0552603613177471,"Luxury","Luxury"
"32",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,31,15,690,49,28,0.0710144927536232,0.0405797101449275,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,"",60000,18000,NA,NA,NA,"",61200,NA,42,16,1636,51,56,0.0311735941320293,0.0342298288508557,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,"",64334.4,0,NA,NA,NA,"",66144,NA,1,1,23,0,1,0,0.0434782608695652,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,42,13,805,21,36,0.0260869565217391,0.0447204968944099,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,26,6,924,61,35,0.066017316017316,0.0378787878787879,24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,62,24,1736,46,148,0.0264976958525346,0.0852534562211982,62,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,"",NA,NA,1,28,0,"Business Intelligence",90000.04,9000,7,3,228,11,6,0.0482456140350877,0.0263157894736842,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Luxury"
"39",1,49,1,"Corporate Finance",97850,9785,1,51,1,"Corporate Finance",102742.5,10274.25,136,25,4306,219,350,0.0508592661402694,0.0812819321876452,136,0,100,19,2460,140,187,0.0569105691056911,0.0760162601626016,30,4,1658,71,144,0.0428226779252111,0.0868516284680338,"Standard","Standard"
"40",0,33,0,"Sourcing",67925,3396.25,0,35,0,"Strategic Logistic Solutions (SLS)",74962.68,7496.27,125,33,2994,107,156,0.0357381429525718,0.0521042084168337,125,0,54,15,1291,43,63,0.0333075135553834,0.0487993803253292,46,10,1205,48,69,0.0398340248962656,0.0572614107883817,"Luxury","Luxury"
"41",1,42,0,"Other",41862.54,0,0,44,0,"Manufacturing Professionals",43285.87,NA,133,37,2108,152,221,0.0721062618595825,0.104838709677419,133,0,64,16,795,72,91,0.0905660377358491,0.114465408805031,NA,NA,NA,NA,NA,NA,NA,"Standard","Standard"
"42",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,60,16,1814,66,97,0.0363836824696803,0.0534729878721058,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",0,25,0,"Human Resources",29120,1164.8,0,26,0,"Human Resources",31200,1248,528,118,8925,509,870,0.05703081232493,0.0974789915966387,528,0,427,78,7276,401,690,0.0551126992853216,0.0948323254535459,11,6,155,11,26,0.0709677419354839,0.167741935483871,"Luxury","Luxury"
"44",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,42,14,1757,50,123,0.0284575981787137,0.0700056915196357,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,0,"Sourcing",30264,1210.56,1,31,0,"Customer Service",37506.82,1500.27,166,47,5068,122,252,0.0240726124704025,0.0497237569060773,160,6,147,35,4500,106,231,0.0235555555555556,0.0513333333333333,NA,NA,NA,NA,NA,NA,NA,"Luxury","Luxury"
"46",1,36,0,"Sourcing",NA,NA,NA,NA,NA,"",NA,NA,15,6,347,8,15,0.0230547550432277,0.0432276657060519,15,0,11,4,238,8,10,0.0336134453781513,0.0420168067226891,NA,NA,NA,NA,NA,NA,NA,"Standard",NA
"47",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,54,15,933,52,55,0.0557341907824223,0.0589496248660236,54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,117,29,5656,157,433,0.0277581329561528,0.0765558698727016,114,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,99,28,2419,135,150,0.0558081852004961,0.0620090946672179,98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,"",31200,0,NA,NA,NA,"",31616,NA,3,2,82,3,6,0.0365853658536585,0.0731707317073171,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1,51,0,"Sourcing",45968,0,NA,NA,NA,"",46696,NA,22,10,302,15,29,0.0496688741721854,0.0960264900662252,22,0,19,7,286,13,27,0.0454545454545455,0.0944055944055944,NA,NA,NA,NA,NA,NA,NA,"Standard",NA
"52",NA,NA,NA,"",51374.7,7706.205,NA,NA,NA,"",53874.6,8081.19,38,15,1190,58,66,0.0487394957983193,0.0554621848739496,33,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,2,1,39,1,1,0.0256410256410256,0.0256410256410256,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,3,1,45,2,1,0.0444444444444444,0.0222222222222222,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,0,"Sourcing",92024.92,9202.492,1,56,1,"Manufacturing Professionals",95706,9570.6,405,45,9680,625,818,0.0645661157024793,0.084504132231405,387,18,378,33,8597,566,736,0.0658369198557636,0.0856112597417704,NA,NA,NA,NA,NA,NA,NA,"Luxury","Luxury"
"56",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,4,2,22,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,1,1,2,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1,53,0,"Information Technology",101413.41,10141.341,NA,NA,NA,"",103441.68,10344.17,101,32,2948,84,183,0.028493894165536,0.0620759837177748,100,1,79,23,2285,56,150,0.024507658643326,0.0656455142231947,3,2,89,4,6,0.0449438202247191,0.0674157303370786,"Standard",NA
"59",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,106,48,2797,95,129,0.0339649624597783,0.0461208437611727,105,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,"",54933.32,13733.33,NA,NA,NA,"",60499.92,21174.97,73,27,2283,87,79,0.038107752956636,0.0346035917652212,52,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,2,2,6,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,22,14,418,4,28,0.00956937799043062,0.0669856459330144,19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,"",NA,NA,NA,NA,NA,"",99914.88,9991.49,199,56,6047,175,305,0.0289399702331735,0.0504382338349595,196,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,"",71933,21579.9,NA,NA,NA,"",73371.66,NA,23,8,968,25,32,0.0258264462809917,0.0330578512396694,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",0,42,0,"Customer Service",25667.2,1026.688,0,44,0,"Customer Service",25667.2,1026.69,138,38,2998,116,144,0.0386924616410941,0.048032021347565,135,3,59,14,1374,59,66,0.0429403202328967,0.0480349344978166,5,5,181,7,9,0.0386740331491713,0.0497237569060773,"Luxury","Luxury"
"66",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,5,3,43,4,1,0.0930232558139535,0.0232558139534884,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,77,34,2048,20,23,0.009765625,0.01123046875,75,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,1,1,1,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",0,43,0,"Information Technology",60629.61,6062.961,0,44,0,"Information Technology",62205.98,6220.6,94,33,1937,51,155,0.0263293753226639,0.0800206504904492,94,0,71,24,1488,38,116,0.0255376344086022,0.0779569892473118,8,2,190,5,7,0.0263157894736842,0.0368421052631579,"Standard","Standard"
"70",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,6,4,26,6,0,0.230769230769231,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1,45,0,"Sourcing",96599.88,9659.988,1,47,1,"Manufacturing Professionals",98531.94,9853.19,90,45,1934,58,80,0.0299896587383661,0.0413650465356774,89,1,68,33,1481,49,54,0.0330857528696826,0.0364618501012829,3,1,110,0,4,0,0.0363636363636364,"Luxury","Luxury"
"72",1,30,0,"Customer Service",30284.8,1211.392,1,31,0,"Customer Service",31428.8,1257.15,319,34,7748,463,720,0.0597573567372225,0.0929272070211667,319,0,270,29,6759,404,624,0.0597721556443261,0.0923213493120284,NA,NA,NA,NA,NA,NA,NA,"Luxury","Luxury"
"73",0,31,0,"Sourcing",67945.33,6794.533,0,33,0,"Manufacturing Professionals",69983.69,6998.37,66,18,2910,152,233,0.052233676975945,0.0800687285223368,66,0,65,17,2909,151,233,0.0519078721210038,0.0800962530079065,NA,NA,NA,NA,NA,NA,NA,"Standard","Standard"
"74",NA,NA,NA,"",45804.2,1832.168,0,42,0,"Human Resources",47178.3,1887.13,131,37,2063,124,159,0.060106640814348,0.0770722249151721,131,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Luxury"
"75",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,60,17,993,57,42,0.0574018126888218,0.0422960725075529,59,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",0,26,0,"Marketing",28911.22,1156.4488,0,27,0,"Marketing",38690.08,1547.6,199,43,5839,168,292,0.0287720500085631,0.0500085631101216,198,1,126,25,4016,121,206,0.0301294820717131,0.0512948207171315,NA,NA,NA,NA,NA,NA,NA,"Luxury","Luxury"
"77",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,31,5,704,24,44,0.0340909090909091,0.0625,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",1,60,0,"Other",61059.22,6105.922,1,61,1,"Other",64589.06,6458.91,13,9,400,9,15,0.0225,0.0375,13,0,9,6,276,6,12,0.0217391304347826,0.0434782608695652,NA,NA,NA,NA,NA,NA,NA,"Standard","Standard"
"79",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,6,5,114,3,4,0.0263157894736842,0.0350877192982456,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",1,44,0,"Sourcing",NA,NA,NA,NA,0,"Manufacturing Professionals",NA,NA,1,1,7,1,0,0.142857142857143,0,1,0,1,1,7,1,0,0.142857142857143,0,NA,NA,NA,NA,NA,NA,NA,"Standard","Standard"
"81",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,1,1,33,2,2,0.0606060606060606,0.0606060606060606,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1,58,0,"Sourcing",57470.11,2873.5055,NA,NA,NA,"",59251.68,2962.58,36,18,588,26,24,0.0442176870748299,0.0408163265306122,36,0,34,16,562,24,21,0.0427046263345196,0.0373665480427046,NA,NA,NA,NA,NA,NA,NA,"Standard",NA
"83",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,19,8,360,25,20,0.0694444444444444,0.0555555555555556,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,41,20,1230,40,48,0.032520325203252,0.0390243902439024,39,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,"",26977.6,1079.104,NA,NA,NA,"",25022.4,1000.9,56,15,1474,62,91,0.0420624151967436,0.0617367706919946,53,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",0,49,0,"Human Resources",57045.99,0,0,51,0,"Human Resources",58643.28,NA,186,60,3229,74,269,0.0229173118612574,0.0833075255497058,186,0,156,41,2534,53,205,0.0209155485398579,0.0808997632202052,12,7,257,10,13,0.0389105058365759,0.0505836575875486,"Standard","Standard"
"87",NA,NA,0,"Information Technology",79004.78,7900.478,1,39,0,"Information Technology",81769.95,8177,46,29,498,31,31,0.0622489959839357,0.0622489959839357,46,0,23,16,259,15,16,0.0579150579150579,0.0617760617760618,10,4,100,9,11,0.09,0.11,"Standard","Standard"
"88",1,42,0,"Other",56284.8,2251.392,NA,NA,NA,"",58531.2,2341.25,2,1,33,2,5,0.0606060606060606,0.151515151515152,2,0,2,1,33,2,5,0.0606060606060606,0.151515151515152,NA,NA,NA,NA,NA,NA,NA,"Luxury",NA
"89",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,10,8,226,27,23,0.119469026548673,0.101769911504425,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",1,47,0,"Marketing",41799.94,0,1,49,0,"Direct to Consumer (DTC)",42218.02,NA,30,20,596,18,19,0.0302013422818792,0.0318791946308725,24,6,24,15,491,15,16,0.0305498981670061,0.0325865580448065,NA,NA,NA,NA,NA,NA,NA,"Luxury","Luxury"
"91",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,217,38,7548,236,400,0.0312665606783254,0.0529941706412295,196,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",0,26,0,"Corporate Finance",NA,NA,0,28,0,"Business Intelligence",43232.28,1729.29,124,40,3893,109,239,0.0279989725147701,0.0613922424865143,120,4,62,29,2085,69,100,0.0330935251798561,0.0479616306954436,2,1,43,0,3,0,0.0697674418604651,"Luxury","Luxury"
"93",0,45,1,"Information Technology",82819.36,8281.936,0,46,0,"Information Technology",85635.16,8563.52,26,15,642,34,34,0.0529595015576324,0.0529595015576324,26,0,9,6,193,13,11,0.0673575129533679,0.0569948186528497,NA,NA,NA,NA,NA,NA,NA,"Luxury","Luxury"
"94",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,80,19,2692,104,115,0.0386329866270431,0.0427191679049034,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",1,41,1,"Sourcing",63888.59,6388.859,NA,NA,NA,"",65102.47,6510.25,17,6,420,14,24,0.0333333333333333,0.0571428571428571,17,0,8,5,166,7,9,0.0421686746987952,0.0542168674698795,NA,NA,NA,NA,NA,NA,NA,"Standard",NA
"96",1,54,0,"Global Product Development",NA,NA,NA,NA,NA,"",79362.94,7936.29,64,20,1192,87,59,0.0729865771812081,0.049496644295302,64,0,55,14,1132,78,55,0.068904593639576,0.0485865724381625,5,3,37,5,2,0.135135135135135,0.0540540540540541,"Luxury",NA
"97",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,10,5,369,26,25,0.0704607046070461,0.0677506775067751,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,NA,"",NA,NA,NA,NA,0,"Global Product Development",NA,NA,3,3,81,4,6,0.0493827160493827,0.0740740740740741,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Luxury"
"99",0,55,0,"Marketing",54757.9,0,NA,NA,NA,"",56126.85,NA,502,111,10576,657,1058,0.0621217851739788,0.100037821482602,496,6,315,45,6668,406,672,0.0608878224355129,0.100779844031194,32,10,741,51,61,0.0688259109311741,0.0823211875843455,"Standard",NA
"100",NA,NA,NA,"",152985.47,38246.3675,NA,NA,NA,"",156045.18,NA,107,28,1467,85,75,0.0579413769597819,0.0511247443762781,107,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,1,1,8,1,1,0.125,0.125,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",0,50,0,"Global Product Development",80899.04,8089.904,0,52,0,"Manufacturing Professionals",83730.51,8373.05,26,10,344,28,23,0.0813953488372093,0.0668604651162791,26,0,24,8,324,26,21,0.0802469135802469,0.0648148148148148,NA,NA,NA,NA,NA,NA,NA,"Standard","Standard"
"103",NA,NA,NA,"",37856,1514.24,0,51,0,"Other",38417.6,1536.7,75,14,2544,111,86,0.0436320754716981,0.0338050314465409,75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Luxury"
"104",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,2,2,6,2,0,0.333333333333333,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,31,10,1000,21,38,0.021,0.038,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",0,40,0,"Corporate Finance",59384.66,5938.466,0,42,0,"Accounting",61403.74,6140.37,266,70,6745,204,438,0.0302446256486286,0.064936990363232,266,0,199,50,5330,157,367,0.0294559099437148,0.0688555347091932,NA,NA,NA,NA,NA,NA,NA,"Standard","Standard"
"107",NA,NA,NA,"",120000.14,12000.014,1,57,0,"Global Product Development",120000.14,12000.01,193,36,9657,342,548,0.0354147250698975,0.0567464015739878,192,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Luxury"
